Datetime,Username,Text,Clean_Text,Preprocess_Text
2022-06-19 23:58:28+00:00,CingThie,"Hadeehhh....
Dah Senin aja....
Smangaaaaat.....",hadeehhhdah senin ajasmangaaaaat,"['hadeehhhdah', 'senin', 'ajasmangaaaaat']"
2022-06-19 23:58:26+00:00,cipuIarang,"@inidgndibaa Nahkan, mana sekarang udah senin lagi",nahkan mana sekarang udah senin lagi,"['nahkan', 'senin']"
2022-06-19 23:58:24+00:00,txtdarisisi,Hari senin yg bahagia hahahaha,hari senin yg bahagia hahahaha,"['senin', 'bahagia', 'hahahaha']"
2022-06-19 23:58:23+00:00,yamafguchi,"Morning world, bismillah jaeyi selca senin ini",morning world bismillah jaeyi selca senin ini,"['morning', 'world', 'bismillah', 'jaeyi', 'selca', 'senin']"
2022-06-19 23:58:22+00:00,indahalwayswin,Selamat beraktifitas di hari Senin guys 😉,selamat beraktifitas di hari senin guys,"['selamat', 'beraktifitas', 'senin', 'teman']"
2022-06-19 23:58:21+00:00,kumbaaangg,"selamat hari senin, peeps!💋 https://t.co/IfJLVfoxyi",selamat hari senin peeps,"['selamat', 'senin', 'peeps']"
2022-06-19 23:58:21+00:00,munap__,Senin pagi full senyum :),senin pagi full senyum,"['senin', 'pagi', 'full', 'senyum']"
2022-06-19 23:58:19+00:00,xdjkl13,Kenapa orang orang kalo hr Senin pd sambat sihh?,kenapa orang orang kalo hr senin pd sambat sihh,"['orang', 'orang', 'senin', 'sambat', 'sihh']"
2022-06-19 23:58:15+00:00,jaaeminsea,selamat hari senin wkwk untung libur,selamat hari senin wkwk untung libur,"['selamat', 'senin', 'wkwk', 'untung', 'libur']"
2022-06-19 23:58:08+00:00,JoMinang,Senin berbahasa Indonesia https://t.co/gHZkRd2Xug,senin berbahasa indonesia,"['senin', 'bahasa', 'indonesia']"
2022-06-19 23:58:06+00:00,haikhaikyu,bangun pagi di hari senin sebagai pengangguran butuh mental yang kuat kawan,bangun pagi di hari senin sebagai pengangguran butuh mental yang kuat kawan,"['bangun', 'pagi', 'senin', 'anggur', 'butuh', 'mental', 'kuat', 'kawan']"
2022-06-19 23:58:02+00:00,chantikajho,"Kalau senin gini, rasanya pingin jadi ibu rumah tangga aja",kalau senin gini rasanya pingin jadi ibu rumah tangga aja,"['senin', 'gin', 'pingin', 'rumah', 'tangga']"
2022-06-19 23:58:01+00:00,elmanoer4,alhamdulillah masih bertemu lg dgn senin di kereta yg super full🤡🫂🫠🗿 https://t.co/Fb0fRabVnc,alhamdulillah masih bertemu lg dgn senin di kereta yg super full,"['alhamdulillah', 'temu', 'senin', 'kereta', 'super', 'full']"
2022-06-19 23:58:00+00:00,JimmiTujuh,Yahhh udah senin lagi ☹️,yahhh udah senin lagi,"['yahhh', 'senin']"
2022-06-19 23:57:58+00:00,hyuunmee,"@sacicaww Wahh sama dik😔
Semangat menjalani hari senin ini ya dik😉 jangan lup sarapan, okay?😉",wahh sama diksemangat menjalani hari senin ini ya dik jangan lup sarapan okay,"['wahh', 'diksemangat', 'jalan', 'senin', 'iya', 'dik', 'lup', 'sarap', 'okay']"
2022-06-19 23:57:57+00:00,akun2suka2,"ANJ ADA LAGI, btw w hrs berterimakasih sama trio prada ini.. hari senin w membaik",anj ada lagi btw w hrs berterimakasih sama trio prada ini hari senin w membaik,"['anj', 'ngomong-ngomong', 'w', 'berterimakasih', 'trio', 'prada', 'senin', 'w', 'baik']"
2022-06-19 23:57:57+00:00,bibby_vell,"Gilaaa serangan sekarang kok tiap senin sih heii gilaa dari Niall ke konser Harry, sampe Zayn ke gigi anjrit² plss gw baru bangun langsung nanang Ismail dik😭😭🙏😩☝️",gilaaa serangan sekarang kok tiap senin sih heii gilaa dari niall ke konser harry sampe zayn ke gigi anjrit plss gw baru bangun langsung nanang ismail dik,"['gilaaa', 'serang', 'senin', 'sih', 'heii', 'gilaa', 'niall', 'konser', 'harry', 'zayn', 'gigi', 'anjing', 'plss', 'bangun', 'langsung', 'nanang', 'ismail', 'dik']"
2022-06-19 23:57:55+00:00,nrydrz_,"Good morning kak @Jinan_JKT48, udah bangun blom?, jangan lupa sarapan nya, semangat Senin nya,HAVE A NICE DAY ✨🌼",good morning kak jkt udah bangun blom jangan lupa sarapan nya semangat senin nyahave a nice day,"['good', 'morning', 'kak', 'jakarta', 'bangun', 'blom', 'lupa', 'sarap', 'nya', 'semangat', 'senin', 'nyahave', 'a', 'nice', 'day']"
2022-06-19 23:57:52+00:00,sanjilopszs,Abang kontol merusak Senin pagi guwej👎👎👎,abang kontol merusak senin pagi guwej,"['abang', 'kontol', 'rusak', 'senin', 'pagi', 'guwej']"
2022-06-19 23:57:52+00:00,esgudeyenak,Yaampun kenapa tbtb hari senin sihhh🤯 hari minggu berlalu terlalu cepat😭,yaampun kenapa tbtb hari senin sihhh hari minggu berlalu terlalu cepat,"['yaampun', 'tbtb', 'senin', 'sihhh', 'minggu', 'cepat']"
2022-06-19 23:57:49+00:00,fairiza_,alhamdulillah senin kali ini libur :v,alhamdulillah senin kali ini libur v,"['alhamdulillah', 'senin', 'kali', 'libur', 'v']"
2022-06-19 23:57:47+00:00,cdunoo,INI hari senin tapi ngga berasa hari senin,ini hari senin tapi ngga berasa hari senin,"['senin', 'asa', 'senin']"
2022-06-19 23:57:42+00:00,buulannovember,"selamat pagi Senin, semangat ya semuanya. 
jangan lupa senyum 🌈",selamat pagi senin semangat ya semuanya jangan lupa senyum,"['selamat', 'pagi', 'senin', 'semangat', 'iya', 'lupa', 'senyum']"
2022-06-19 23:57:42+00:00,ISDYS1,"Lupa, hari ini hari senin",lupa hari ini hari senin,"['lupa', 'senin']"
2022-06-19 23:57:41+00:00,Alfimacora,alhamdulillah udah senin lagi:),alhamdulillah udah senin lagi,"['alhamdulillah', 'senin']"
2022-06-19 23:57:35+00:00,gvllali,@perwizra Met hari senin juga,met hari senin juga,"['met', 'senin']"
2022-06-19 23:57:28+00:00,winchantik0,Senin pagi,senin pagi,"['senin', 'pagi']"
2022-06-19 23:57:24+00:00,nuraastutiii,"Senin, 20 Juni 2022
Sabar itu sulit, tapi hadiahnya selangit tuhan adil jadi jangan pernah takut sama hasil..",senin juni sabar itu sulit tapi hadiahnya selangit tuhan adil jadi jangan pernah takut sama hasil,"['senin', 'juni', 'sabar', 'sulit', 'hadiah', 'langit', 'tuhan', 'adil', 'takut', 'hasil']"
